Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1702512000000,2023-12-14,ETHUSDT,2260.16,2332.11,2228.2,2315.32,4.095.080.931,934.716.057.650.864,918965
1702425600000,2023-12-13,ETHUSDT,2203.47,2284.02,2144.32,2260.16,4.189.166.154,922.420.273.947.253,897019
1702339200000,2023-12-12,ETHUSDT,2225.11,2244.12,2166.0,2203.46,3.615.889.087,7.990.151.274.149.740,804062
1702252800000,2023-12-11,ETHUSDT,2352.39,2355.0,2156.62,2225.12,6.404.149.166,142.691.096.496.622,1153316
1702166400000,2023-12-10,ETHUSDT,2340.48,2377.47,2320.0,2352.39,2.000.372.102,469.860.963.947.153,464455
1702080000000,2023-12-09,ETHUSDT,2358.71,2403.0,2328.01,2340.49,2.877.710.664,679.437.458.931.254,648813
1701993600000,2023-12-08,ETHUSDT,2355.74,2392.0,2336.34,2358.72,3.785.698.126,89.384.192.083.732,713431
1701907200000,2023-12-07,ETHUSDT,2232.7,2382.8,2222.0,2355.73,4.851.900.609,1.115.389.522.523.050,921917
1701820800000,2023-12-06,ETHUSDT,2293.33,2312.23,2220.0,2232.7,4.083.389.056,9.259.261.681.093.420,842212
1701734400000,2023-12-05,ETHUSDT,2243.36,2309.72,2188.33,2293.33,5.298.297.214,1.190.597.719.193.220,1018557
1701648000000,2023-12-04,ETHUSDT,2192.96,2274.28,2191.0,2243.37,5.653.077.134,1.263.069.834.208.610,980117
